,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma20,ma_v_20,ma60,ma_v_60
395,000001.SZ,20180815,8.926,8.926,8.6588,8.6984,8.9062,-0.20780000000000065,-2.3332,670442.85,594759.517,8.9775,630025.292,9.0482,800395.922,9.2596,860815.2727
396,000001.SZ,20180816,8.639,8.7973,8.5499,8.6885,8.6984,-0.00990000000000002,-0.1138,638272.55,559523.123,8.8765,596323.048,9.0507,809240.93,9.2316,854936.2103
397,000001.SZ,20180817,8.7874,8.8468,8.6885,8.7182,8.6885,0.02970000000000006,0.3418,649476.56,576683.267,8.7934,641384.688,9.0358,754000.888,9.2047,854291.6193
398,000001.SZ,20180820,8.8072,8.926,8.7775,8.9062,8.7182,0.1880000000000006,2.1564,681322.06,609934.725,8.7835,613950.876,9.015,698982.578,9.1812,855758.0592
399,000001.SZ,20180821,8.926,9.1635,8.9161,9.1338,8.9062,0.2276000000000007,2.5555,1264474.47,1163292.795,8.829,780797.698,9.0066,690911.5935,9.1616,867342.6183
400,000001.SZ,20180822,9.1437,9.2426,9.0348,9.1932,9.1338,0.05939999999999834,0.6503,982433.98,909598.743,8.928,843195.924,9.0022,709327.152,9.1463,868891.6018
401,000001.SZ,20180823,9.2031,9.3218,9.1338,9.2624,9.1932,0.06920000000000037,0.7527,729074.62,680941.392,9.0428,861356.338,9.0076,704112.9755,9.1371,862302.0615
402,000001.SZ,20180824,9.213,10.1728,9.1932,9.9254,9.2624,0.6630000000000003,7.158,3040408.39,2995071.976,9.2842,1339542.704,9.0462,830377.0935,9.1373,896519.5283
403,000001.SZ,20180827,9.9155,10.3213,9.8661,10.3213,9.9254,0.39590000000000103,3.9888,2218424.22,2251527.721,9.5672,1646963.136,9.0977,905979.006,9.144,923539.746
404,000001.SZ,20180828,10.2322,10.3213,10.1333,10.1827,10.3213,-0.13860000000000028,-1.3429,1289777.24,1331917.86,9.777,1652023.69,9.1407,934460.328,9.147,935152.0608
405,000001.SZ,20180829,10.1432,10.2223,10.0442,10.1629,10.1827,-0.01980000000000004,-0.1944,901883.49,923581.546,9.9709,1635913.592,9.1961,938850.4185,9.1498,939241.1065
406,000001.SZ,20180830,10.1629,10.2421,9.9749,10.0145,10.1629,-0.14840000000000053,-1.4602,994917.73,1013877.514,10.1214,1689082.214,9.2545,942026.241,9.1522,943944.0118
407,000001.SZ,20180831,10.0244,10.2124,9.9947,10.0244,10.0145,0.00990000000000002,0.0989,1310865.24,1337898.869,10.1412,1343173.584,9.3149,983742.172,9.151,944747.7958
408,000001.SZ,20180903,9.9848,10.1926,9.9848,10.0838,10.0244,0.05940000000000012,0.5926,711695.67,725303.291,10.0937,1041827.874,9.3767,991626.4515,9.1548,938286.3933
409,000001.SZ,20180904,10.0937,10.44,9.965,10.3213,10.0838,0.2375000000000007,2.3553,1296342.08,1339756.563,10.1214,1043140.842,9.4391,1021922.396,9.1638,947869.1783
410,000001.SZ,20180905,10.1926,10.2223,9.9452,9.9452,10.3213,-0.376100000000001,-3.6439,1179453.17,1202345.697,10.0778,1098654.778,9.4886,1051947.3965,9.1663,952305.0525
411,000001.SZ,20180906,9.9452,10.0343,9.8463,9.8661,9.9452,-0.07910000000000039,-0.7954,711777.55,713975.749,10.0482,1042026.742,9.5222,1047197.0855,9.1693,955324.9398
412,000001.SZ,20180907,9.9353,10.0739,9.8265,9.9057,9.8661,0.03960000000000008,0.4014,809035.34,815151.722,10.0244,941660.762,9.5608,1066440.4345,9.1709,954368.9953
413,000001.SZ,20180910,9.9057,9.965,9.7374,9.777,9.9057,-0.12870000000000026,-1.2993,636989.29,631174.169,9.9631,926719.486,9.6019,1057365.343,9.1688,944173.6855
414,000001.SZ,20180911,9.7968,9.9254,9.7077,9.8067,9.777,0.02970000000000006,0.3038,712967.51,707337.57,9.8601,810044.572,9.6469,1071501.7005,9.1721,929958.5695
415,000001.SZ,20180912,9.7671,9.8661,9.7176,9.777,9.8067,-0.02970000000000006,-0.3029,564829.16,558399.563,9.8265,687119.77,9.7008,1066221.016,9.1742,926645.1003
416,000001.SZ,20180913,9.9848,9.9947,9.7374,9.8562,9.777,0.07920000000000016,0.8101,999725.61,993389.97,9.8245,744709.382,9.7592,1084293.669,9.1784,929306.0143
417,000001.SZ,20180914,9.876,9.876,9.7077,9.7374,9.8562,-0.11880000000000024,-1.2053,619750.19,611422.48,9.7909,706852.352,9.8102,1082807.3505,9.1808,928671.5423
418,000001.SZ,20180917,9.6978,9.6978,9.5791,9.589,9.7374,-0.14839999999999876,-1.524,517082.33,502609.643,9.7533,682870.96,9.8443,1074595.364,9.1871,917369.3712
