,ts_code,symbol,name,area,industry,list_date
3591,603799.SH,603799,华友钴业,浙江,小金属,20150129
2168,300786.SZ,300786,国林科技,山东,环境保护,20190723
3134,601666.SH,601666,平煤股份,河南,煤炭开采,20061123
1929,300534.SZ,300534,陇神戎发,甘肃,中成药,20160913
2890,600822.SH,600822,上海物贸,上海,商贸代理,19940204
3198,601988.SH,601988,中国银行,北京,银行,20060705
89,000423.SZ,000423,东阿阿胶,山东,中成药,19960729
3085,601288.SH,601288,农业银行,北京,银行,20100715
2634,600533.SH,600533,栖霞建设,江苏,区域地产,20020328
2256,600071.SH,600071,凤凰光学,江西,元器件,19970528
2244,600058.SH,600058,五矿发展,北京,商贸代理,19970528
3624,603866.SH,603866,桃李面包,辽宁,食品,20151222
2011,300619.SZ,300619,金银河,广东,专用机械,20170301
2865,600794.SH,600794,保税科技,江苏,仓储物流,19970306
1200,002757.SZ,002757,南兴股份,广东,专用机械,20150527
1781,300385.SZ,300385,雪浪环境,江苏,环境保护,20140626
1454,300052.SZ,300052,中青宝,深圳,互联网,20100211
2237,600051.SH,600051,宁波联合,浙江,综合类,19970410
1095,002646.SZ,002646,青青稞酒,青海,白酒,20111222
3007,600996.SH,600996,贵广网络,贵州,影视音像,20161226
793,002341.SZ,002341,新纶科技,深圳,化工原料,20100122
2726,600640.SH,600640,号百控股,上海,影视音像,19930407
1776,300380.SZ,300380,安硕信息,上海,软件服务,20140128
218,000665.SZ,000665,湖北广电,湖北,影视音像,19961210
1977,300584.SZ,300584,海辰药业,江苏,化学制药,20170112
1850,300454.SZ,300454,深信服,深圳,软件服务,20180516
3056,601155.SH,601155,新城控股,江苏,区域地产,20151204
3545,603698.SH,603698,航天工程,北京,专用机械,20150128
867,002415.SZ,002415,海康威视,浙江,电器仪表,20100528
3100,601375.SH,601375,中原证券,河南,证券,20170103
3475,603583.SH,603583,捷昌驱动,浙江,电气设备,20180921
2572,600459.SH,600459,贵研铂业,云南,小金属,20030516
1433,300031.SZ,300031,宝通科技,江苏,互联网,20091225
3004,600992.SH,600992,贵绳股份,贵州,钢加工,20040514
